,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
19,AAPL,2025-12-01 09:50:00+00:00,276.81,276.99,276.81,276.99,2846.0,53.0,276.9623
20,AAPL,2025-12-01 09:51:00+00:00,276.98,276.98,276.98,276.98,837.0,10.0,276.98
21,AAPL,2025-12-01 09:52:00+00:00,276.94,276.99,276.94,276.99,2512.0,32.0,276.978816
22,AAPL,2025-12-01 09:55:00+00:00,277.08,277.1,277.08,277.1,777.0,19.0,277.092945
23,AAPL,2025-12-01 09:57:00+00:00,277.05,277.05,277.05,277.05,365.0,9.0,277.05
24,AAPL,2025-12-01 10:02:00+00:00,277.25,277.25,277.25,277.25,285.0,9.0,277.25
25,AAPL,2025-12-01 10:04:00+00:00,277.39,277.39,277.37,277.37,560.0,11.0,277.385633
26,AAPL,2025-12-01 10:05:00+00:00,277.45,277.45,277.45,277.45,190.0,5.0,277.45
27,AAPL,2025-12-01 10:06:00+00:00,277.45,277.45,277.45,277.45,653.0,20.0,277.45
28,AAPL,2025-12-01 10:13:00+00:00,277.43,277.5,277.43,277.5,4215.0,76.0,277.477347
29,AAPL,2025-12-01 10:14:00+00:00,277.46,277.46,277.46,277.46,153.0,7.0,277.46
30,AAPL,2025-12-01 10:20:00+00:00,277.31,277.31,277.31,277.31,294.0,21.0,277.31
31,AAPL,2025-12-01 10:24:00+00:00,277.32,277.32,277.32,277.32,1115.0,22.0,277.32
32,AAPL,2025-12-01 10:31:00+00:00,277.33,277.33,277.33,277.33,350.0,20.0,277.33
33,AAPL,2025-12-01 10:32:00+00:00,277.37,277.43,277.37,277.43,2277.0,88.0,277.392735
34,AAPL,2025-12-01 10:33:00+00:00,277.45,277.45,277.45,277.45,230.0,11.0,277.45
35,AAPL,2025-12-01 10:35:00+00:00,277.48,277.48,277.41,277.41,475.0,16.0,277.459351
36,AAPL,2025-12-01 10:37:00+00:00,277.48,277.59,277.46,277.59,5136.0,82.0,277.558521
37,AAPL,2025-12-01 10:44:00+00:00,277.42,277.42,277.42,277.42,285.0,5.0,277.42
38,AAPL,2025-12-01 11:00:00+00:00,277.25,277.25,277.25,277.25,796.0,34.0,277.25
39,AAPL,2025-12-01 11:09:00+00:00,277.24,277.24,277.24,277.24,784.0,37.0,277.24
40,AAPL,2025-12-01 11:17:00+00:00,277.26,277.26,277.26,277.26,210.0,10.0,277.26
41,AAPL,2025-12-01 11:20:00+00:00,277.36,277.36,277.36,277.36,436.0,16.0,277.36
42,AAPL,2025-12-01 11:24:00+00:00,277.36,277.36,277.36,277.36,570.0,29.0,277.36
43,AAPL,2025-12-01 11:28:00+00:00,277.38,277.38,277.38,277.38,475.0,24.0,277.38
44,AAPL,2025-12-01 11:29:00+00:00,277.34,277.36,277.3,277.3,1396.0,28.0,277.324501
45,AAPL,2025-12-01 11:31:00+00:00,277.47,277.47,277.47,277.47,415.0,21.0,277.47
46,AAPL,2025-12-01 11:36:00+00:00,277.38,277.38,277.38,277.38,297.0,22.0,277.38
47,AAPL,2025-12-01 11:37:00+00:00,277.42,277.42,277.4,277.4,738.0,13.0,277.413333
48,AAPL,2025-12-01 11:39:00+00:00,277.44,277.45,277.44,277.45,956.0,47.0,277.4475
